API: DataArrays
0, 2985.70051053239
50000, 441.942795863119
100000, 210.401807427848
150000, 138.354815193197
200000, 104.018473254244
250000, 79.0541105022956
300000, 63.9100321616741
350000, 54.8864735944925
400000, 49.320356654294
450000, 43.627907633525
500000, 40.0262104023508
550000, 36.895977600522
600000, 34.2607422991083
650000, 31.6853966231683
700000, 28.5424965000638
750000, 26.4060146388086
800000, 24.8956010302833
850000, 23.8663735080454
900000, 22.5848273624124
950000, 21.6648762526729
1000000, 20.2328180708998
