API: ChunksWithGroups
0, 2452.25617101026
50000, 677.551320129266
100000, 293.942071553733
150000, 185.310187473217
200000, 134.292139433439
250000, 105.331946111603
300000, 86.8247359479798
350000, 73.9820830191344
400000, 64.8587404961864
450000, 56.6384171233581
500000, 47.9186531344879
550000, 44.3619708041838
600000, 40.0858895451426
650000, 37.9271682721307
700000, 35.0753543022995
750000, 32.5760496539471
800000, 30.5632146534489
850000, 29.2165690607834
900000, 27.5063172703245
950000, 26.1546223758805
1000000, 24.8002663115846
