API: ChunksWithoutGroups
0, 2585.41772338998
50000, 398.26998504636
100000, 147.138492097738
150000, 88.7234001571964
200000, 68.7936913891873
250000, 54.8331592197307
300000, 47.1666533027816
350000, 39.8119698322017
400000, 35.6958228748072
450000, 32.5066364996198
500000, 28.9738141428334
550000, 26.6264132172929
600000, 24.2937037198279
650000, 22.4747214072657
700000, 20.8515880492847
750000, 19.5080425217668
800000, 18.3711211486879
850000, 17.2130490173566
900000, 16.2777204669606
950000, 15.4510636675397
1000000, 15.0897745148985
